iter	Passed	Remaining
421	2659	60353
422	2665	60345
423	2671	60331
424	2677	60324
425	2683	60320
426	2690	60312
427	2696	60303
428	2702	60299
429	2708	60287
430	2714	60269
431	2720	60260
432	2727	60260
433	2733	60240
434	2740	60253
435	2748	60297
436	2755	60288
437	2760	60266
438	2766	60261
439	2772	60248
440	2778	60225
441	2783	60197
442	2789	60188
443	2795	60168
444	2801	60147
445	2807	60135
446	2813	60122
447	2818	60095
448	2824	60078
449	2829	60057
450	2835	60036
451	2841	60032
452	2854	60148
453	2858	60112
454	2864	60098
455	2870	60070
456	2875	60039
457	2880	60014
458	2886	59991
459	2891	59969
460	2897	59949
461	2902	59929
462	2908	59906
463	2913	59883
464	2919	59874
465	2925	59857
466	2931	59838
467	2937	59836
468	2943	59817
469	2948	59785
470	2955	59785
471	2961	59775
472	2966	59757
473	2973	59757
474	2979	59738
475	2984	59723
476	2990	59709
477	2996	59687
478	3002	59676
479	3007	59658
480	3013	59640
481	3019	59624
482	3025	59609
483	3030	59586
484	3036	59578
485	3042	59556
486	3048	59547
487	3065	59744
488	3072	59752
489	3081	59813
490	3089	59831
491	3103	59971
492	3111	60002
493	3118	60000
494	3124	59997
495	3130	59989
496	3136	59968
497	3142	59952
498	3147	59935
499	3153	59922
500	3159	59904
501	3165	59882
502	3170	59861
503	3176	59844
504	3181	59824
505	3188	59820
506	3193	59801
507	3199	59786
508	3205	59770
509	3210	59748
510	3217	59741
511	3222	59725
512	3228	59706
513	3234	59686
514	3239	59672
515	3245	59653
516	3251	59642
517	3257	59625
518	3263	59616
519	3269	59601
520	3275	59600
521	3281	59578
522	3287	59564
523	3292	59540
524	3298	59524
525	3304	59515
526	3309	59496
527	3315	59479
528	3321	59470
529	3327	59460
530	3333	59440
531	3339	59426
532	3344	59411
533	3350	59395
534	3356	59382
535	3365	59416
536	3377	59516
537	3389	59613
538	3395	59606
539	3401	59586
540	3407	59570
541	3413	59559
542	3418	59542
543	3424	59527
544	3430	59510
545	3436	59499
546	3442	59492
547	3448	59477
548	3455	59478
549	3462	59490
550	3468	59487
551	3475	59479
552	3481	59469
553	3487	59458
554	3493	59447
555	3499	59448
556	3508	59477
557	3517	59517
558	3528	59600
559	3536	59615
560	3542	59602
561	3548	59592
562	3553	59571
563	3559	59559
564	3565	59540
565	3570	59520
566	3577	59515
567	3583	59502
568	3589	59491
569	3594	59473
570	3600	59461
571	3606	59444
572	3612	59425
573	3617	59409
