iter	RMSE
0	41.97600226
1	41.89006372
2	41.80228822
3	41.71905698
4	41.63523158
5	41.55165404
6	41.47035092
7	41.38427025
8	41.3092146
9	41.22552418
10	41.14712654
11	41.07487632
12	41.00188476
13	40.92303881
14	40.85384595
15	40.78440546
16	40.71002717
17	40.64142263
18	40.56794324
19	40.49281787
20	40.42519882
21	40.3613032
22	40.29774979
23	40.22892786
24	40.16350936
25	40.10029334
26	40.03503764
27	39.9701847
28	39.90900989
29	39.84696655
30	39.78633453
31	39.72648882
32	39.65990935
33	39.60675228
34	39.55404941
35	39.49636716
36	39.44341862
37	39.38941048
38	39.33276314
39	39.27609109
40	39.2280388
41	39.18234016
42	39.13725318
43	39.08642408
44	39.03754727
45	38.98657241
46	38.94323368
47	38.89581133
48	38.84802394
49	38.79800074
50	38.75405842
51	38.70824948
52	38.66106586
53	38.61224138
54	38.56430472
55	38.52040276
56	38.47195796
57	38.42974424
58	38.38540562
59	38.33889872
60	38.29671815
61	38.25532674
62	38.2163965
63	38.17771323
64	38.13896951
65	38.09289628
66	38.05762697
67	38.0215075
68	37.98499352
69	37.94194514
70	37.90129
71	37.86689165
72	37.83078876
73	37.79094924
74	37.75644095
75	37.71996752
76	37.67610132
77	37.63960372
78	37.59801169
79	37.56585543
80	37.53525728
81	37.49872134
82	37.4654627
83	37.43723126
84	37.40364316
85	37.37008139
86	37.33512133
87	37.30188353
88	37.27027046
89	37.23533388
90	37.20858015
91	37.17925989
92	37.14364014
93	37.11489298
94	37.08213099
95	37.0469434
96	37.01799462
97	36.98809175
98	36.95948128
99	36.92857723
100	36.9053869
101	36.87689913
102	36.85393943
103	36.82697052
104	36.80171989
105	36.76551779
106	36.74138464
107	36.70866865
108	36.68104389
109	36.65641877
110	36.63405941
111	36.60609791
112	36.58235413
113	36.56085848
114	36.54083822
115	36.52011826
116	36.49469465
117	36.47147332
118	36.44603023
119	36.42386625
120	36.39960136
121	36.37878596
122	36.35258442
123	36.32751205
124	36.30187017
125	36.27559068
126	36.2498868
127	36.23163809
128	36.21228734
129	36.18877199
130	36.16628395
131	36.14465411
132	36.12106846
133	36.09438407
134	36.06440966
135	36.04434767
136	36.02541465
137	36.00406243
138	35.98690682
139	35.96763949
140	35.94333091
141	35.92804493
142	35.90820266
143	35.88974497
144	35.87420826
145	35.8570158
146	35.83876164
147	35.81555878
148	35.80426659
149	35.78425403
150	35.76712134
151	35.74784161
152	35.72819974
153	35.70559665
154	35.68451304
155	35.664306
156	35.64656964
157	35.6274946
158	35.60974879
159	35.59070085
160	35.57264541
161	35.55709655
162	35.54048243
163	35.52305722
164	35.50438183
165	35.48477169
166	35.46310468
167	35.44511149
168	35.4278548
169	35.41137741
170	35.39417253
171	35.37676348
172	35.36072701
173	35.34376342
174	35.33039081
175	35.31585618
176	35.29612349
177	35.27820009
178	35.26664576
179	35.2547941
180	35.23559743
181	35.21836638
182	35.20064982
183	35.1853077
184	35.17214027
185	35.15992616
186	35.14428102
187	35.13441218
188	35.12380438
189	35.10648428
190	35.09031716
191	35.07262609
192	35.04878128
193	35.03261197
194	35.01697007
195	35.00440781
196	34.99261803
197	34.98220652
198	34.96714927
199	34.9524523
200	34.93597085
201	34.92183615
202	34.91087176
203	34.89735256
204	34.8821219
205	34.8652381
206	34.85341614
207	34.84021852
208	34.82725484
209	34.81087211
210	34.80006632
211	34.78717297
212	34.77711487
213	34.76614783
214	34.74666672
215	34.73709661
216	34.72122051
217	34.71019913
218	34.69985006
219	34.68050818
220	34.66833882
221	34.65581225
222	34.64614529
223	34.63184308
224	34.61859585
225	34.60527132
226	34.59158726
227	34.57988671
228	34.57162509
229	34.56118649
230	34.55123916
231	34.54057196
232	34.53251615
233	34.52200153
234	34.51135139
235	34.49777106
236	34.48425309
237	34.47303114
238	34.4613046
239	34.45133098
240	34.44122759
241	34.43228993
242	34.42001551
